ticker;stockName;cl;cusip;value;percentage;shares;principal;optionType
JOBY;JOBY AVIATION, INC;COMMON STOCK;G65163100;2073254;40.4;128454401;;
GRAB;GRAB HOLDINGS LIMITED;CLASS A ORD;G4124C109;1341894;26.2;222906079;;
PONY;PONY AI, INC;SPONSORED ADS;732908108;954786;18.6;42453831;;
UBER;UBER TECHNOLOGIES INC.;COM;90353T100;502181;9.8;5125868;;
AUR;AURORA INNOVATION, INC.;CLASS A COM;051774107;255206;5.0;47348178;;
