ticker;stockName;cl;cusip;value;percentage;shares;principal;optionType
NVDA;NVIDIA CORPORATION;COM;67066G104;359961170;6.3;1929259144;;
MSFT;MICROSOFT CORP;COM;594918104;306553916;5.4;591860058;;
AAPL;APPLE INC;COM;037833100;291890587;5.1;1146332274;;
