"managerName";"search_code";"ticker"
"Jason Celino, CFA";KEYBANC;UDMY
"Jason Celino, CFA";KEYBANC;PATH
"Jason Celino, CFA";KEYBANC;WDAY
"Jackson Ader, CFA";KEYBANC;ADBE
"Jackson Ader, CFA";KEYBANC;AKAM
"Jackson Ader, CFA";KEYBANC;AMPL
"Jackson Ader, CFA";KEYBANC;ASAN
"Jackson Ader, CFA";KEYBANC;NET
"Jackson Ader, CFA";KEYBANC;FSLY
"Jackson Ader, CFA";KEYBANC;FIVN
"Jackson Ader, CFA";KEYBANC;HUBS
"Jackson Ader, CFA";KEYBANC;KVYO
"Jackson Ader, CFA";KEYBANC;MSFT
"Jackson Ader, CFA";KEYBANC;MNDY
"Jackson Ader, CFA";KEYBANC;ORCL
"Jackson Ader, CFA";KEYBANC;RNG
"Jackson Ader, CFA";KEYBANC;CRM
"Jackson Ader, CFA";KEYBANC;SAP.GY
"Jackson Ader, CFA";KEYBANC;SEMR
"Jackson Ader, CFA";KEYBANC;NOW
"Jackson Ader, CFA";KEYBANC;CXM
"Jackson Ader, CFA";KEYBANC;SPT
"Jackson Ader, CFA";KEYBANC;TWLO
"Jackson Ader, CFA";KEYBANC;ZETA
"Jackson Ader, CFA";KEYBANC;GTM
"Jackson Ader, CFA";KEYBANC;ZM
