AMGN
Amgen Inc	330.41	+0.38	+0.12	326.9	333.03	330.03
AMZN
Amazon.com Inc	239.12	+0.94	+0.39	236.41	239.57	238.18
AAPL
Apple Inc	255.53	-2.68	-1.04	254.93	258.9	258.21
WMT
Walmart Inc	119.7	+0.5	+0.42	116.9	120.6	119.2
CVX
Chevron Corp	166.26	+0.1	+0.06	165.81	167.29	166.16
DIS
Walt Disney Co	111.2	-2.21	-1.95	111.12	113.85	113.41
TRV
Travelers Companies Inc	269.42	-1.92	-0.71	268.52	271.91	271.34
GS
Goldman Sachs Group Inc	962	-13.86	-1.42	957	984.7	975.86
HD
Home Depot Inc	380.17	+1.01	+0.27	377.51	382.77	379.16
MMM
3M Co	167.8	-3.3	-1.93	167	171.43	171.1
UNH
UnitedHealth Group Inc	331.02	-7.94	-2.34	330.43	336.2	338.96
CSCO
Cisco Systems Inc	75.19	-0.06	-0.08	74.6	75.99	75.25
MRK
Merck & Co Inc	108.83	-2.14	-1.93	108.43	110.73	110.97
MSFT
Microsoft Corp	459.86	+3.2	+0.7	456.48	463.19	456.66
JNJ
Johnson & Johnson	218.66	-0.91	-0.41	218.14	220.11	219.57
JPM
JPMorgan Chase & Co	312.47	+3.21	+1.04	310	317.21	309.26
KO
Coca-Cola Co	70.44	-0.04	-0.06	70.04	70.74	70.48
SHW
Sherwin-Williams Co	357.83	+1.7	+0.48	354.01	358.1	356.13
VZ
Verizon Communications Inc	38.91	-0.45	-1.14	38.9	39.35	39.36
PG
Procter & Gamble Co	144.53	-0.1	-0.07	143.66	144.73	144.63
V
Visa Inc	328.3	+0.55	+0.17	325.4	329.25	327.75
NKE
Nike Inc	64.38	-0.21	-0.33	63.68	64.59	64.59
NVDA
NVIDIA Corp	186.23	-0.82	-0.44	186.08	190.44	187.05
CRM
Salesforce Inc	227.11	-6.42	-2.75	226.44	232.95	233.53
HON
Honeywell International Inc	219.39	+4.37	+2.03	216.53	220.63	215.02
IBM
International Business Machines Corp	305.67	+7.72	+2.59	300.78	307.45	297.95
MCD
McDonald’s Corp	307.43	-1.19	-0.39	305.84	308.53	308.62
CAT
Caterpillar Inc	646.89	-0.29	-0.04	641.01	655.68	647.18
AXP
American Express Co	364.79	+7.42	+2.08	359.9	369.4	357.37
BA
Boeing Co	247.68	-0.06	-0.02	244.96	248.19	247.74
