stock;earningsDate;stockPriceSOD;stockPriceEOD;stockPriceEO2Ds;stockPriceEOW;stockPriceEO2Ws;movement;supriseEarning;supriseRevenue
NUTX;19-Nov-2025;112.11;142.45;136.86;112.80;131.86;Upward;328.73%;-0.01%
NUTX;13-May-2025;125.93;158.50;173.81;177.26;163.80;Upward;-15.88%;57.77%
NUTX;31-Mar-2025;47.56;71.57;75.34;75.49;129.95;Upward;9116.24%;217.60%
DUOL;05-Nov-2025;260.02;194.57;200.98;186.31;174.51;Downward;684.41%;4.38%
DUOL;06-Aug-2025;343.84;390.67;369.81;327.96;339.09;UpwardReturn;55.10%;4.83%
DUOL;01-May-2025;400.50;487.02;494.43;504.23;531.27;Upward;39.86%;3.39%
DUOL;27-Feb-2025;375.30;311.65;295.26;273.14;272.59;Downward;-41.89%;2.02%
LLY;30-Oct-2025;844.61;863.01;896.46;937.55;1022.92;Upward;23.33%;9.64%
