watchlist;stock;country
MY_STOCK_IBKR;PONY;USA
MY_STOCK_IBKR;ALVO;USA
MY_STOCK_IBKR;OLMA;USA
MY_STOCK_IBKR;CRML;USA
MY_STOCK_IBKR;TTGT;USA
MY_STOCK_IBKR;AAPL;USA
MY_STOCK_IBKR;INFY;USA
MY_STOCK_IBKR;RIVN;USA
MY_STOCK_IBKR;INDI;USA
MY_STOCK_IBKR;CRWV;USA
OPTION_PUT_CALL;ASTS;USA
OPTION_PUT_CALL;ORCL;USA
OPTION_PUT_CALL;PLD;USA
OPTION_PUT_CALL;KLAC;USA
OPTION_PUT_CALL;EQX;USA
OPTION_PUT_CALL;CRD;USA
OPTION_PUT_CALL;LITE;USA
OPTION_PUT_CALL;INSM;USA
OPTION_PUT_CALL;HL;USA
OPTION_PUT_CALL;AVGO;USA
OPTION_PUT_CALL;CIEN;USA
OPTION_PUT_CALL;SYM;USA
OPTION_PUT_CALL;MDB;USA
OPTION_PUT_CALL;PRAX;USA
OPTION_PUT_CALL;PLTR;USA
OPTION_PUT_CALL;AGX;USA
OPTION_PUT_CALL;ASML;USA
OPTION_PUT_CALL;MU;USA
UNDER_CONS_IBKR;NOW;USA
UNDER_CONS_IBKR;META;USA
UNDER_CONS_IBKR;TSLA;USA
UNDER_CONS_IBKR;LCID;USA
UNDER_CONS_IBKR;OKLO;USA
UNDER_CONS_IBKR;SAIC;USA
VOLATILE_WATCH;MU;USA
VOLATILE_WATCH;NUTX;USA
52_WEEK_2025;RGC;USA
