ticker;quarter;time;date
NBBK;"Q4-2025";AMC;21-Jan-2026
HBNC;"Q4-2025";AMC;21-Jan-2026
TRST;"Q4-2025";AMC;21-Jan-2026
MPB;"Q4-2025";AMC;21-Jan-2026
GSBC;"Q4-2025";AMC;21-Jan-2026
EGBN;"Q4-2025";AMC;21-Jan-2026
NRIM;"Q4-2025";AMC;21-Jan-2026
TCBX;"Q4-2025";AMC;21-Jan-2026
NFBK;"Q4-2025";AMC;21-Jan-2026
GCBC;"Q2-2026";TNS;21-Jan-2026
NVEC;"Q3-2026";AMC;21-Jan-2026
FSBW;"Q4-2025";AMC;21-Jan-2026
PLBC;"Q4-2025";BMO;21-Jan-2026
FNLC;"Q4-2025";AMC;21-Jan-2026
RICK;"Q4-2025";AMC;21-Jan-2026
GCL;"H1-2026";BMO;21-Jan-2026
UNB;"Q4-2025";AMC;21-Jan-2026
SLB;"Q4-2025";BMO;23-Jan-2026
ERIC;"Q4-2025";BMO;23-Jan-2026
FCNCA;"Q4-2025";BMO;23-Jan-2026
BAH;"Q3-2026";BMO;23-Jan-2026
WBS;"Q4-2025";BMO;23-Jan-2026
MOG-B;"Q1-2026";BMO;23-Jan-2026
MOG-A;"Q1-2026";BMO;23-Jan-2026
RBCAA;"Q4-2025";BMO;23-Jan-2026
BHRB;"Q4-2025";TNS;23-Jan-2026
MCBS;"Q4-2025";TAS;23-Jan-2026
OVLY;"Q4-2025";AMC;23-Jan-2026
LSBK;"Q4-2025";AMC;23-Jan-2026
ZJYL;"H2-2025";AMC;23-Jan-2026
UNH;"Q4-2025";BMO;27-Jan-2026
RTX;"Q4-2025";BMO;27-Jan-2026
BA;"Q4-2025";BMO;27-Jan-2026
NEE;"Q4-2025";BMO;27-Jan-2026
TXN;"Q4-2025";AMC;27-Jan-2026
UNP;"Q4-2025";BMO;27-Jan-2026
HCA;"Q4-2025";BMO;27-Jan-2026
NOC;"Q4-2025";BMO;27-Jan-2026
UPS;"Q4-2025";BMO;27-Jan-2026
GM;"Q4-2025";BMO;27-Jan-2026
STX;"Q2-2026";AMC;27-Jan-2026
PCAR;"Q4-2025";BMO;27-Jan-2026
ROP;"Q4-2025";BMO;27-Jan-2026
SYY;"Q2-2026";BMO;27-Jan-2026
KMB;"Q4-2025";BMO;27-Jan-2026
SYF;"Q4-2025";BMO;27-Jan-2026
PPG;"Q4-2025";AMC;27-Jan-2026
PKG;"Q4-2025";AMC;27-Jan-2026
FFIV;"Q1-2026";AMC;27-Jan-2026
NXT;"Q3-2026";AMC;27-Jan-2026
LOGI;"Q3-2026";AMC;27-Jan-2026
IVZ;"Q4-2025";BMO;27-Jan-2026
BXP;"Q4-2025";AMC;27-Jan-2026
AIT;"Q2-2026";BMO;27-Jan-2026
MANH;"Q4-2025";AMC;27-Jan-2026
AAL;"Q4-2025";BMO;27-Jan-2026
UMBF;"Q4-2025";AMC;27-Jan-2026
BPOP;"Q4-2025";BMO;27-Jan-2026
QRVO;"Q3-2026";AMC;27-Jan-2026
CBC;"Q4-2025";BMO;27-Jan-2026
CVLT;"Q3-2026";BMO;27-Jan-2026
AKO-B;"Q4-2025";AMC;27-Jan-2026
LPL;"Q4-2025";TNS;27-Jan-2026
GEF;"Q1-2026";AMC;27-Jan-2026
PII;"Q4-2025";BMO;27-Jan-2026
ENVA;"Q4-2025";AMC;27-Jan-2026
AKO-A;"Q4-2025";AMC;27-Jan-2026
GEF-B;"Q1-2026";AMC;27-Jan-2026
RNST;"Q4-2025";AMC;27-Jan-2026
FBP;"Q4-2025";BMO;27-Jan-2026
WSBC;"Q4-2025";AMC;27-Jan-2026
CBU;"Q4-2025";BMO;27-Jan-2026
LRN;"Q2-2026";AMC;27-Jan-2026
ASH;"Q1-2026";AMC;27-Jan-2026
PFS;"Q4-2025";AMC;27-Jan-2026
TRMK;"Q4-2025";AMC;27-Jan-2026
BUSE;"Q4-2025";AMC;27-Jan-2026
JBLU;"Q4-2025";BMO;27-Jan-2026
FCF;"Q4-2025";AMC;27-Jan-2026
CCB;"Q4-2025";TNS;27-Jan-2026
NBHC;"Q4-2025";AMC;27-Jan-2026
HOPE;"Q4-2025";BMO;27-Jan-2026
QCRH;"Q4-2025";AMC;27-Jan-2026
SSII;"Q4-2025";AMC;27-Jan-2026
MRTN;"Q4-2025";AMC;27-Jan-2026
HAFC;"Q4-2025";AMC;27-Jan-2026
